participant__session__code,participant__session_id,participant__id_in_session,participant__code,channel,nickname,body,timestamp
v8jw39uu,1,1,l81l91fj,1-wsd-11,Participant 3,challenges,1655115278.8637686
v8jw39uu,1,16,qle1y5e1,1-wsd-31,Participant 3,a formal objection to the selection of a particular person as a juror,1655115344.548721
v8jw39uu,1,36,kzlwe574,1-wsd-111,Participant 3,Which?,1655115375.3579767
v8jw39uu,1,28,tj9eap24,1-wsd-131,Participant 3,Какую?,1655115431.3449004
v8jw39uu,1,58,1q2fc52f,1-wsd-161,Participant 1,hi,1655115432.0100226
v8jw39uu,1,42,c6hrzzaz,1-wsd-131,Participant 1,3,1655115451.0178201
v8jw39uu,1,28,tj9eap24,1-wsd-131,Participant 3,"Текстом, они у всех по разному",1655115492.5511394
v8jw39uu,1,36,kzlwe574,1-wsd-112,Participant 3,What do you think?,1655115507.3258922
v8jw39uu,1,26,uacdg9di,1-wsd-112,Participant 2,Why,1655115507.3521883
v8jw39uu,1,29,wwmxiren,1-wsd-82,Participant 1,1 везде,1655115520.1802151
v8jw39uu,1,36,kzlwe574,1-wsd-112,Participant 3,Nodding the head?,1655115529.529408
v8jw39uu,1,26,uacdg9di,1-wsd-112,Participant 2,let the head fall forward through drowsiness,1655115529.7419171
v8jw39uu,1,36,kzlwe574,1-wsd-112,Participant 3,Ok,1655115539.100692
v8jw39uu,1,28,tj9eap24,1-wsd-132,Participant 3,Ответ?,1655115581.914841
v8jw39uu,1,42,c6hrzzaz,1-wsd-132,Participant 1,The act of,1655115599.6169086
v8jw39uu,1,48,5dw26fpk,1-wsd-132,Participant 2,the act of nodding the head,1655115608.864796
v8jw39uu,1,28,tj9eap24,1-wsd-132,Participant 3,ок,1655115614.8940272
v8jw39uu,1,36,kzlwe574,1-wsd-113,Participant 3,The act of nooding,1655115672.1928756
v8jw39uu,1,36,kzlwe574,1-wsd-113,Participant 3,?,1655115679.4702725
v8jw39uu,1,26,uacdg9di,1-wsd-113,Participant 2,I agree,1655115685.3593225
v8jw39uu,1,36,kzlwe574,1-wsd-113,Participant 3,And me,1655115691.6285577
v8jw39uu,1,26,uacdg9di,1-wsd-113,Participant 2,the act of nodding the head,1655115702.7102375
v8jw39uu,1,28,tj9eap24,1-wsd-133,Participant 3,Ответ?,1655115734.958817
v8jw39uu,1,42,c6hrzzaz,1-wsd-133,Participant 1,ower and raise,1655115742.6767135
v8jw39uu,1,48,5dw26fpk,1-wsd-133,Participant 2,the act of nodding the head,1655115743.8601239
v8jw39uu,1,42,c6hrzzaz,1-wsd-133,Participant 1,the act,1655115755.2976217
v8jw39uu,1,63,2zms96nz,1-wsd-192,Participant 3,Which is the correct answer? ,1655115757.5222313
v8jw39uu,1,28,tj9eap24,1-wsd-133,Participant 3,the act of nodding the head,1655115757.6590545
v8jw39uu,1,28,tj9eap24,1-wsd-133,Participant 3,Ок?,1655115778.3899105
v8jw39uu,1,64,5f63ufca,1-wsd-192,Participant 1,act nodding?,1655115780.986788
v8jw39uu,1,66,r2ivckf6,1-wsd-201,Participant 1,что предлагаете?,1655115793.1931612
v8jw39uu,1,28,tj9eap24,1-wsd-134,Participant 3,Ответ?,1655115879.8009953
v8jw39uu,1,48,5dw26fpk,1-wsd-134,Participant 2,"lower and raise the head, as to indicate assent or agreement or confirmation",1655115882.8324347
v8jw39uu,1,52,t2sm9gb5,1-wsd-154,Participant 2,pls tell your ans,1655115890.1137934
v8jw39uu,1,28,tj9eap24,1-wsd-134,Participant 3,Согласен,1655115893.7695262
v8jw39uu,1,52,t2sm9gb5,1-wsd-154,Participant 2,kindly mark the act of nodding head,1655115925.3524523
v8jw39uu,1,36,kzlwe574,1-wsd-114,Participant 3,?,1655115969.59234
v8jw39uu,1,36,kzlwe574,1-wsd-114,Participant 3,Lower ...,1655115980.9325688
v8jw39uu,1,36,kzlwe574,1-wsd-114,Participant 3,?,1655115994.3721383
v8jw39uu,1,26,uacdg9di,1-wsd-114,Participant 2,"lower and raise the head, as to indicate assent or agreement or confirmation",1655116008.8511426
v8jw39uu,1,36,kzlwe574,1-wsd-114,Participant 3,Yes,1655116012.523878
v8jw39uu,1,28,tj9eap24,1-wsd-135,Participant 3,Ответ?,1655116022.5562532
v8jw39uu,1,42,c6hrzzaz,1-wsd-135,Participant 1,conformity with rules or standards,1655116026.4672205
v8jw39uu,1,48,5dw26fpk,1-wsd-135,Participant 2,the ownership interest of shareholders in a corporation,1655116026.8286982
v8jw39uu,1,36,kzlwe574,1-wsd-114,Participant 3,I chose this also,1655116030.002739
v8jw39uu,1,28,tj9eap24,1-wsd-135,Participant 3,conformity with rules or standards,1655116039.641693
v8jw39uu,1,48,5dw26fpk,1-wsd-135,Participant 2,ок,1655116046.9529893
v8jw39uu,1,64,5f63ufca,1-wsd-195,Participant 1,answer ?,1655116061.979263
v8jw39uu,1,64,5f63ufca,1-wsd-195,Participant 1,rules and standards ?,1655116080.869018
v8jw39uu,1,28,tj9eap24,1-wsd-136,Participant 3,Ответ?,1655116102.944155
v8jw39uu,1,42,c6hrzzaz,1-wsd-136,Participant 1,the ownership interest of shareholders in a corporation,1655116113.0095575
v8jw39uu,1,48,5dw26fpk,1-wsd-136,Participant 2,the ownership interest of shareholders in a corporation,1655116116.1811023
v8jw39uu,1,28,tj9eap24,1-wsd-136,Participant 3,ок,1655116120.6897671
v8jw39uu,1,45,47ztl1u0,1-wsd-104,Participant 3,the act of nodding the head,1655116136.3929658
v8jw39uu,1,28,tj9eap24,1-wsd-137,Participant 3,ответ?,1655116187.8174021
v8jw39uu,1,48,5dw26fpk,1-wsd-137,Participant 2,a person who acts and gets things done,1655116189.3268123
v8jw39uu,1,42,c6hrzzaz,1-wsd-137,Participant 1,a member of the working class (not necessarily employed),1655116192.2528892
v8jw39uu,1,28,tj9eap24,1-wsd-137,Participant 3,a member of the working class (not necessarily employed),1655116203.13597
v8jw39uu,1,48,5dw26fpk,1-wsd-137,Participant 2,ок,1655116210.5049436
v8jw39uu,1,36,kzlwe574,1-wsd-115,Participant 3,Conformity,1655116277.8861442
v8jw39uu,1,26,uacdg9di,1-wsd-115,Participant 2,the difference between the market value of a property and the claims held against it,1655116281.2717483
v8jw39uu,1,36,kzlwe574,1-wsd-115,Participant 3,"Ok, select ""Difference...",1655116300.204764
v8jw39uu,1,28,tj9eap24,1-wsd-138,Participant 3,Ответ?,1655116317.4014883
v8jw39uu,1,42,c6hrzzaz,1-wsd-138,Participant 1,a member of the working class (not necessarily employed),1655116324.2885811
v8jw39uu,1,28,tj9eap24,1-wsd-138,Participant 3,ок,1655116330.4854562
v8jw39uu,1,28,tj9eap24,1-wsd-139,Participant 3,Ответ?,1655116420.1906621
v8jw39uu,1,42,c6hrzzaz,1-wsd-139,Participant 1,concerning one person exclusively,1655116431.347578
v8jw39uu,1,28,tj9eap24,1-wsd-139,Participant 3,ок,1655116439.4346046
v8jw39uu,1,48,5dw26fpk,1-wsd-139,Participant 2,concerning one person exclusively,1655116439.7648258
v8jw39uu,1,28,tj9eap24,1-wsd-140,Participant 3,Ответ?,1655116512.9268186
v8jw39uu,1,42,c6hrzzaz,1-wsd-140,Participant 1,"move downward and lower, but not necessarily all the way",1655116516.7788303
v8jw39uu,1,48,5dw26fpk,1-wsd-140,Participant 2,do something that one considers to be below one's dignity,1655116518.663587
v8jw39uu,1,28,tj9eap24,1-wsd-140,Participant 3,Согласен,1655116523.9880571
v8jw39uu,1,28,tj9eap24,1-wsd-140,Participant 3,Спасибо за совместную работу)),1655116541.3851879
v8jw39uu,1,36,kzlwe574,1-wsd-116,Participant 3,The ownership...,1655116554.519366
v8jw39uu,1,36,kzlwe574,1-wsd-116,Participant 3,?,1655116569.256524
v8jw39uu,1,36,kzlwe574,1-wsd-118,Participant 3,Working class,1655117096.6662798
v8jw39uu,1,36,kzlwe574,1-wsd-118,Participant 3,?,1655117108.315275
v8jw39uu,1,36,kzlwe574,1-wsd-118,Participant 3,?,1655117132.1851978
v8jw39uu,1,36,kzlwe574,1-wsd-118,Participant 3,?,1655117158.2768812
v8jw39uu,1,36,kzlwe574,1-wsd-119,Participant 3,concerning,1655117409.42419
v8jw39uu,1,36,kzlwe574,1-wsd-119,Participant 3,?,1655117419.956379
