participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.time_for_initial_decision,player.time_for_decision_when_disagreement_occurred,player.intermediary_payoff,player.payable_round,player.written_outcome,player.initial_decision,player.phrase,player.sentence,player.senses,player.decision,group.id_in_subsession,group.is_initial_agreement,group.is_eventual_agreement,group.is_golden_label,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
2,qvk30x43,,0,50,50,last,Last,2022-06-12 16:05:18.931287+00:00,1,,,3,2,,0,,1.371475,3,5,"Your team agrees with you, congratulations!",0,nodded,"Five minutes later, before Haney could make his break, the stranger stood up and nodded farewell.","a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",0,2,1,1,,3,eghddqm9,,,,,1
3,mowjrqzf,,0,50,50,last,Last,2022-06-12 16:05:18.938550+00:00,1,,,3,3,,0,,1.364855,3,4,"Your team agrees with you, congratulations!",0,nodded,"Five minutes later, before Haney could make his break, the stranger stood up and nodded farewell.","a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",0,2,1,1,,3,eghddqm9,,,,,1
1,devxm3wo,,0,50,50,last,Last,2022-06-12 16:05:18.916694+00:00,1,,,3,1,,0,,1.326013,3,5,"Your team agrees with you, congratulations!",0,nodded,Pete nodded understandingly.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",0,2,1,1,,4,eghddqm9,,,,,1
2,qvk30x43,,0,50,50,last,Last,2022-06-12 16:05:18.931287+00:00,1,,,3,2,,0,,1.316475,3,5,"Your team agrees with you, congratulations!",0,nodded,Pete nodded understandingly.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",0,2,1,1,,4,eghddqm9,,,,,1
3,mowjrqzf,,0,50,50,last,Last,2022-06-12 16:05:18.938550+00:00,1,,,3,3,,3,,1.308992,3,4,"Your team agrees with you, congratulations!",0,nodded,Pete nodded understandingly.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",0,2,1,1,,4,eghddqm9,,,,,1
1,devxm3wo,,0,50,50,last,Last,2022-06-12 16:05:18.916694+00:00,1,,,3,1,,3,,90.802244,3,5,"Your team agrees with you, congratulations!",0,equity,Whether they are or are not underpaid is a problem of equity; it is not an educational problem.,the difference between the market value of a property and the claims held against it;;the ownership interest of shareholders in a corporation;;conformity with rules or standards,0,2,1,1,,5,eghddqm9,,,,,1
2,qvk30x43,,0,50,50,last,Last,2022-06-12 16:05:18.931287+00:00,1,,,3,2,,3,,90.787948,3,5,"Your team agrees with you, congratulations!",0,equity,Whether they are or are not underpaid is a problem of equity; it is not an educational problem.,the difference between the market value of a property and the claims held against it;;the ownership interest of shareholders in a corporation;;conformity with rules or standards,0,2,1,1,,5,eghddqm9,,,,,1
3,mowjrqzf,,0,50,50,last,Last,2022-06-12 16:05:18.938550+00:00,1,,,3,3,,0,,90.747666,3,4,"Your team agrees with you, congratulations!",0,equity,Whether they are or are not underpaid is a problem of equity; it is not an educational problem.,the difference between the market value of a property and the claims held against it;;the ownership interest of shareholders in a corporation;;conformity with rules or standards,0,2,1,1,,5,eghddqm9,,,,,1
1,fybhhwgk,,0,0,32,,,,0,,,0,1,,0,,,,1,,,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,,1,,,,1,k40dy3sl,,,,,1
2,pn9zvovb,,0,0,32,,,,0,,,0,2,,0,,,,3,,,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,,1,,,,1,k40dy3sl,,,,,1
3,nuwoia8m,,0,0,32,,,,0,,,0,3,,0,,,,3,,,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,,1,,,,1,k40dy3sl,,,,,1
1,fybhhwgk,,0,0,32,,,,0,,,0,1,,0,,,,1,,,nodded,The man closed his eyes and nodded.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",,1,,,,2,k40dy3sl,,,,,1
2,pn9zvovb,,0,0,32,,,,0,,,0,2,,0,,,,3,,,nodded,The man closed his eyes and nodded.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",,1,,,,2,k40dy3sl,,,,,1
3,nuwoia8m,,0,0,32,,,,0,,,0,3,,0,,,,3,,,nodded,The man closed his eyes and nodded.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",,1,,,,2,k40dy3sl,,,,,1
1,fybhhwgk,,0,0,32,,,,0,,,0,1,,0,,,,1,,,nodded,"Five minutes later, before Haney could make his break, the stranger stood up and nodded farewell.","a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",,1,,,,3,k40dy3sl,,,,,1
2,pn9zvovb,,0,0,32,,,,0,,,0,2,,0,,,,3,,,nodded,"Five minutes later, before Haney could make his break, the stranger stood up and nodded farewell.","a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",,1,,,,3,k40dy3sl,,,,,1
3,nuwoia8m,,0,0,32,,,,0,,,0,3,,0,,,,3,,,nodded,"Five minutes later, before Haney could make his break, the stranger stood up and nodded farewell.","a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",,1,,,,3,k40dy3sl,,,,,1
1,71a6e7jc,,0,32,32,last,Last,2022-06-12 17:17:17.397076+00:00,1,,,3,1,,0,96.430933,32.91852,1,3,Your team eventually reached an agreement,8,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,0,2,0,1,,1,cjj1qqr0,,,,,1
2,2b44jl8n,,0,32,32,last,Last,2022-06-12 17:17:19.070278+00:00,1,,,1,2,,1,78.838746,29.718792,1,1,Your team eventually reached an agreement,8,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,0,2,0,1,,1,cjj1qqr0,,,,,1
3,esmklgfj,,0,32,32,last,Last,2022-06-12 17:17:20.918439+00:00,1,,,1,3,,0,94.100946,34.27406,1,2,Your team eventually reached an agreement,1,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,0,2,0,1,,1,cjj1qqr0,,,,,1
1,71a6e7jc,,0,32,32,last,Last,2022-06-12 17:17:17.397076+00:00,1,,,3,1,,0,30.483829,7.36928,3,3,"Your team agrees with you, congratulations!",4,nodded,The man closed his eyes and nodded.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",4,2,0,1,,2,cjj1qqr0,,,,,1
2,2b44jl8n,,0,32,32,last,Last,2022-06-12 17:17:19.070278+00:00,1,,,1,2,,0,22.460174,2.539407,3,1,"Your team agrees with you, congratulations!",4,nodded,The man closed his eyes and nodded.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",4,2,0,1,,2,cjj1qqr0,,,,,1
3,esmklgfj,,0,32,32,last,Last,2022-06-12 17:17:20.918439+00:00,1,,,1,3,,1,12.387492,3.393521,1,2,Your team eventually reached an agreement,2,nodded,The man closed his eyes and nodded.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",4,2,0,1,,2,cjj1qqr0,,,,,1
1,71a6e7jc,,0,32,32,last,Last,2022-06-12 17:17:17.397076+00:00,1,,,3,1,,3,,14.269857,3,3,"Your team agrees with you, congratulations!",5,nodded,"Five minutes later, before Haney could make his break, the stranger stood up and nodded farewell.","a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",5,2,1,1,,3,cjj1qqr0,,,,,1
2,2b44jl8n,,0,32,32,last,Last,2022-06-12 17:17:19.070278+00:00,1,,,1,2,,0,,6.265431,3,1,"Your team agrees with you, congratulations!",5,nodded,"Five minutes later, before Haney could make his break, the stranger stood up and nodded farewell.","a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",5,2,1,1,,3,cjj1qqr0,,,,,1
3,esmklgfj,,0,32,32,last,Last,2022-06-12 17:17:20.918439+00:00,1,,,1,3,,0,,24.247602,3,2,"Your team agrees with you, congratulations!",5,nodded,"Five minutes later, before Haney could make his break, the stranger stood up and nodded farewell.","a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",5,2,1,1,,3,cjj1qqr0,,,,,1
1,yodybjho,,0,8,32,wsd_app,DecisionDisagreement,2022-06-12 17:24:26.085767+00:00,1,,,0,1,,0,,5.376521,0,1,Your team disagrees,6,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,6,2,0,,,1,jnzparhb,,,,,1
2,shx3i9ys,,0,8,32,wsd_app,DecisionDisagreement,2022-06-12 17:24:26.099676+00:00,1,,,0,2,,0,,6.579468,0,3,Your team disagrees,0,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,0,2,0,,,1,jnzparhb,,,,,1
3,m0jt9vmj,,0,8,32,wsd_app,DecisionDisagreement,2022-06-12 17:24:26.109081+00:00,1,,,0,3,,0,,6.570637,0,3,Your team disagrees,0,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,0,2,0,,,1,jnzparhb,,,,,1
1,yodybjho,,0,8,32,wsd_app,DecisionDisagreement,2022-06-12 17:24:26.085767+00:00,1,,,0,1,,0,,,,1,,,nodded,The man closed his eyes and nodded.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",,2,,,,2,jnzparhb,,,,,1
2,shx3i9ys,,0,8,32,wsd_app,DecisionDisagreement,2022-06-12 17:24:26.099676+00:00,1,,,0,2,,0,,,,3,,,nodded,The man closed his eyes and nodded.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",,2,,,,2,jnzparhb,,,,,1
3,m0jt9vmj,,0,8,32,wsd_app,DecisionDisagreement,2022-06-12 17:24:26.109081+00:00,1,,,0,3,,0,,,,3,,,nodded,The man closed his eyes and nodded.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",,2,,,,2,jnzparhb,,,,,1
1,yodybjho,,0,8,32,wsd_app,DecisionDisagreement,2022-06-12 17:24:26.085767+00:00,1,,,0,1,,0,,,,1,,,nodded,"Five minutes later, before Haney could make his break, the stranger stood up and nodded farewell.","a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",,2,,,,3,jnzparhb,,,,,1
2,shx3i9ys,,0,8,32,wsd_app,DecisionDisagreement,2022-06-12 17:24:26.099676+00:00,1,,,0,2,,0,,,,3,,,nodded,"Five minutes later, before Haney could make his break, the stranger stood up and nodded farewell.","a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",,2,,,,3,jnzparhb,,,,,1
3,m0jt9vmj,,0,8,32,wsd_app,DecisionDisagreement,2022-06-12 17:24:26.109081+00:00,1,,,0,3,,0,,,,3,,,nodded,"Five minutes later, before Haney could make his break, the stranger stood up and nodded farewell.","a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",,2,,,,3,jnzparhb,,,,,1
1,q2j0k44x,,0,2,50,matcher,FirstWP,2022-06-12 17:25:40.960937+00:00,1,,,0,1,,0,,,,1,,,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,,1,,,,1,upcp7t4d,,,,,1
2,4axhb8d1,,0,1,50,intro_matcher,Intro,2022-06-12 17:25:40.974982+00:00,1,,,0,2,,0,,,,2,,,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,,1,,,,1,upcp7t4d,,,,,1
3,ytl4lvq8,,0,1,50,intro_matcher,Intro,2022-06-12 17:25:41.074955+00:00,1,,,0,3,,0,,,,3,,,challenges,Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.,a demanding or stimulating situation;;a call to engage in a contest or fight;;questioning a statement and demanding an explanation;;a formal objection to the selection of a particular person as a juror;;a demand by a sentry for a password or identification;;take exception to;;issue a challenge to;;ask for identification;;raise a formal objection in a court of law,,1,,,,1,upcp7t4d,,,,,1
1,q2j0k44x,,0,2,50,matcher,FirstWP,2022-06-12 17:25:40.960937+00:00,1,,,0,1,,0,,,,1,,,nodded,The man closed his eyes and nodded.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",,1,,,,2,upcp7t4d,,,,,1
2,4axhb8d1,,0,1,50,intro_matcher,Intro,2022-06-12 17:25:40.974982+00:00,1,,,0,2,,0,,,,2,,,nodded,The man closed his eyes and nodded.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",,1,,,,2,upcp7t4d,,,,,1
3,ytl4lvq8,,0,1,50,intro_matcher,Intro,2022-06-12 17:25:41.074955+00:00,1,,,0,3,,0,,,,3,,,nodded,The man closed his eyes and nodded.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",,1,,,,2,upcp7t4d,,,,,1
1,q2j0k44x,,0,2,50,matcher,FirstWP,2022-06-12 17:25:40.960937+00:00,1,,,0,1,,0,,,,1,,,nodded,"Five minutes later, before Haney could make his break, the stranger stood up and nodded farewell.","a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",,1,,,,3,upcp7t4d,,,,,1
2,4axhb8d1,,0,1,50,intro_matcher,Intro,2022-06-12 17:25:40.974982+00:00,1,,,0,2,,0,,,,2,,,nodded,"Five minutes later, before Haney could make his break, the stranger stood up and nodded farewell.","a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",,1,,,,3,upcp7t4d,,,,,1
3,ytl4lvq8,,0,1,50,intro_matcher,Intro,2022-06-12 17:25:41.074955+00:00,1,,,0,3,,0,,,,3,,,nodded,"Five minutes later, before Haney could make his break, the stranger stood up and nodded farewell.","a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",,1,,,,3,upcp7t4d,,,,,1
1,q2j0k44x,,0,2,50,matcher,FirstWP,2022-06-12 17:25:40.960937+00:00,1,,,0,1,,0,,,,1,,,nodded,Pete nodded understandingly.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",,1,,,,4,upcp7t4d,,,,,1
2,4axhb8d1,,0,1,50,intro_matcher,Intro,2022-06-12 17:25:40.974982+00:00,1,,,0,2,,0,,,,2,,,nodded,Pete nodded understandingly.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",,1,,,,4,upcp7t4d,,,,,1
3,ytl4lvq8,,0,1,50,intro_matcher,Intro,2022-06-12 17:25:41.074955+00:00,1,,,0,3,,0,,,,3,,,nodded,Pete nodded understandingly.,"a sign of assent or salutation or command;;the act of nodding the head;;express or signify by nodding;;lower and raise the head, as to indicate assent or agreement or confirmation;;let the head fall forward through drowsiness;;sway gently back and forth, as in a nodding motion;;be almost asleep",,1,,,,4,upcp7t4d,,,,,1
1,q2j0k44x,,0,2,50,matcher,FirstWP,2022-06-12 17:25:40.960937+00:00,1,,,0,1,,0,,,,1,,,equity,Whether they are or are not underpaid is a problem of equity; it is not an educational problem.,the difference between the market value of a property and the claims held against it;;the ownership interest of shareholders in a corporation;;conformity with rules or standards,,1,,,,5,upcp7t4d,,,,,1
2,4axhb8d1,,0,1,50,intro_matcher,Intro,2022-06-12 17:25:40.974982+00:00,1,,,0,2,,0,,,,2,,,equity,Whether they are or are not underpaid is a problem of equity; it is not an educational problem.,the difference between the market value of a property and the claims held against it;;the ownership interest of shareholders in a corporation;;conformity with rules or standards,,1,,,,5,upcp7t4d,,,,,1
3,ytl4lvq8,,0,1,50,intro_matcher,Intro,2022-06-12 17:25:41.074955+00:00,1,,,0,3,,0,,,,3,,,equity,Whether they are or are not underpaid is a problem of equity; it is not an educational problem.,the difference between the market value of a property and the claims held against it;;the ownership interest of shareholders in a corporation;;conformity with rules or standards,,1,,,,5,upcp7t4d,,,,,1
